User_ID,Month,Monthly_Income,Housing,Food,Transport,Entertainment,Savings,Loans,Subscriptions,Remaining_Balance
1,Jan,19665.51,4429.15,2214.71,1579.69,608.9,1523,317,5,8988.06
1,Feb,20031.46,4368.05,2263.61,1617.21,692.38,1518.04,316.05,5,9251.12
1,Mar,19912.33,4378,2419.22,1593.23,657.84,1513.08,315.1,5,9030.86
1,Apr,19854.71,4431,2275.03,1580.07,639.5,1508.11,314.15,5,9101.85
1,May,19713.98,4433.55,2219.44,1602.78,648.31,1503.15,313.2,5,8988.56
1,Jun,19715.73,4374.41,2288.94,1655.48,622.12,1498.19,312.25,5,8959.34
1,Jul,19917.86,4399.34,2300.2,1586.4,665.5,1493.23,311.29,5,9156.91
1,Aug,19805.55,4377.89,2203.5,1588.45,639.72,1488.27,310.34,5,9192.37
1,Sep,19958.36,4365.63,2196.74,1626.22,706.59,1483.3,309.39,5,9265.49
1,Oct,19835.31,4417.41,2348.18,1619.61,698.02,1478.34,308.44,5,8960.31
1,Nov,19727.66,4395.92,2362.29,1612.22,694.39,1473.38,307.49,5,8876.97
1,Dec,19695.45,4376.2,2387.22,1600.24,742.4,1468.42,306.54,5,8809.44
2,Jan,14961.91,4816.04,1626.92,1300.05,1584.05,1911,947,142,2634.84
2,Feb,14942.39,4784.8,1573.14,1237.19,1522.15,1901.54,944.16,142,2837.41
2,Mar,15003.56,4786.01,1584.44,1229.89,1542.08,1892.08,941.32,142,2885.75
2,Apr,15048.35,4818.8,1578.2,1246.3,1439.79,1882.61,938.48,142,3002.17
2,May,15055.42,4864.73,1587.89,1250.98,1529.8,1873.15,935.64,142,2871.23
2,Jun,14953.2,4854.12,1606.51,1303.47,1443.68,1863.69,932.79,142,2806.93
2,Jul,14954.34,4799.81,1642.76,1293.57,1567.58,1854.23,929.95,142,2724.44
2,Aug,14825.54,4779.23,1588.59,1261.05,1355.78,1844.77,927.11,142,2927.01
2,Sep,15006.1,4832.36,1550.07,1247.21,1468.26,1835.3,924.27,142,3006.63
2,Oct,14932.69,4778.55,1641.53,1261.58,1545.73,1825.84,921.43,142,2816.03
2,Nov,14994.91,4811.69,1641.58,1292.62,1646.55,1816.38,918.59,142,2725.5
2,Dec,14898.48,4819.43,1635.13,1242.11,1554.74,1806.92,915.75,142,2782.39
3,Jan,9033.96,1954.12,1396.86,541.54,1050.29,2670,1089,397,-64.85
3,Feb,8992.51,1950.28,1387.08,534.47,1090.76,2664.47,1085.73,397,-117.28
3,Mar,8995.81,1932.93,1414.8,561.57,1099.55,2658.94,1082.47,397,-151.45
3,Apr,9153.18,1931.04,1359.67,543.73,1013.5,2653.4,1079.2,397,175.63
3,May,9023.18,1935.75,1321.48,572.38,1007.36,2647.87,1075.93,397,65.42
3,Jun,9126.22,1926.34,1406.72,531.99,1017.98,2642.34,1072.66,397,131.18
3,Jul,9042.41,1925.26,1361.11,562.08,1137.79,2636.81,1069.4,397,-47.04
3,Aug,9018.29,1940.54,1394.3,538.77,1076.11,2631.27,1066.13,397,-25.83
3,Sep,9003.25,1937.31,1362.67,560.3,1126.93,2625.74,1062.86,397,-69.57
3,Oct,9056.9,1940.9,1306.91,547.39,995.52,2620.21,1059.6,397,189.37
3,Nov,9067.33,1936.34,1410.67,542.94,1031.58,2614.68,1056.33,397,77.8
3,Dec,9045.58,1938.49,1393.29,555.22,1105.08,2609.14,1053.06,397,-5.7
4,Jan,12020.62,2481.93,1265.22,843.85,475.24,624,2831,249,3250.4
4,Feb,12110.48,2508.73,1235.78,827.67,471.16,636.25,2822.51,249,3359.38
4,Mar,12023.41,2498.17,1275.63,843.21,494.95,648.5,2814.01,249,3199.94
4,Apr,11944.77,2482.31,1306.5,807.51,539.84,660.75,2805.52,249,3093.35
4,May,12010.89,2470.41,1295.14,847.98,531.02,673,2797.03,249,3147.3
4,Jun,12028.43,2485.62,1201.55,841.29,533.45,685.25,2788.53,249,3243.73
4,Jul,11908.69,2476.75,1284.29,842.59,480.46,697.5,2780.04,249,3098.06
4,Aug,11986.2,2480.73,1289.68,842.77,484.75,709.75,2771.55,249,3157.96
4,Sep,11923.45,2515.18,1290.22,873.18,515.23,722,2763.06,249,2995.59
4,Oct,11923.34,2512.96,1198.01,832.83,528.13,734.25,2754.56,249,3113.6
4,Nov,12054.12,2478.53,1281.05,826.33,500.7,746.5,2746.07,249,3225.95
4,Dec,11992.98,2488.06,1342.11,860.04,548.54,758.74,2737.58,249,3008.91
5,Jan,19684.43,6162,2793.77,1907.68,1558.29,5755,1025,108,374.68
5,Feb,19729.33,6219.94,2751.17,1785.78,1690.07,5791.82,1021.92,108,360.63
5,Mar,19763.92,6177.09,3046.46,1872.21,1565.14,5828.63,1018.85,108,147.54
5,Apr,19839.05,6219.5,3030.29,1865.7,1682.07,5865.45,1015.77,108,52.27
5,May,19918.68,6176.13,2809.19,1821.48,1553.96,5902.26,1012.7,108,534.97
5,Jun,19765.59,6245.37,2951.6,1863.36,1541.1,5939.08,1009.62,108,107.45
5,Jul,19548.98,6261.29,2913.3,1905.06,1539.38,5975.9,1006.55,108,-160.49
5,Aug,19904.9,6225.81,2762.56,1903.51,1515.03,6012.71,1003.48,108,373.81
5,Sep,19888.38,6180.54,2939.01,1789.32,1523.61,6049.53,1000.4,108,297.98
5,Oct,19667.9,6279.06,2761.34,1790.89,1524.59,6086.34,997.32,108,120.36
5,Nov,19693.01,6205.65,3018.84,1896.14,1695.29,6123.16,994.25,108,-348.32
5,Dec,19666.47,6213.92,2983.77,1808.34,1744.51,6159.98,991.17,108,-343.22
6,Jan,30300.48,6625.25,3853.42,2552.59,1524.99,5668,4468,126,5482.23
6,Feb,30317.75,6622.76,3804.18,2621.29,1615.54,5731.05,4454.6,126,5342.34
6,Mar,30540.3,6582.81,3852.09,2567.91,1642.02,5794.11,4441.19,126,5534.17
6,Apr,30133.87,6602.92,3882.56,2506.54,1660.86,5857.16,4427.79,126,5070.04
6,May,30338.24,6667.18,3753.73,2524.93,1556,5920.22,4414.38,126,5375.79
6,Jun,30205.9,6671,3598.97,2515.73,1699.55,5983.27,4400.98,126,5210.41
6,Jul,30081.75,6642.51,3671.56,2505.69,1479.13,6046.33,4387.58,126,5222.96
6,Aug,30544.06,6572.71,3804.11,2443.28,1685.21,6109.38,4374.17,126,5429.2
6,Sep,30046.1,6623.75,3764.43,2480.99,1504.54,6172.43,4360.77,126,5013.18
6,Oct,30313.82,6695.5,3796.68,2496.77,1485.33,6235.49,4347.36,126,5130.69
6,Nov,30380.45,6643.06,3908.4,2497.08,1774.78,6298.54,4333.96,126,4798.63
6,Dec,30211.94,6692.86,4007.02,2446.36,1799.29,6361.6,4320.56,126,4458.26
7,Jan,15312.66,5169.14,2187.71,1339.22,854.89,3987,1520,95,159.69
7,Feb,15354.43,5105.52,2140.88,1352.61,835.59,4039.44,1515.44,95,269.95
7,Mar,15279.29,5089.76,2236,1360.68,872.74,4091.87,1510.88,95,22.36
7,Apr,15233.93,5088.67,2316.91,1312.12,870.57,4144.31,1506.32,95,-99.97
7,May,15341.19,5096.77,2265.19,1316.86,791.13,4196.74,1501.76,95,77.73
7,Jun,15313.62,5162.14,2232.04,1336.81,814.56,4249.18,1497.2,95,-73.3
7,Jul,15192.36,5104.76,2225.13,1403.78,788.53,4301.61,1492.64,95,-219.08
